

                             ASTRONOMICAL COMPUTING
                            SKY & TELESCOPE MAGAZINE

The following programs have appeared in the pages of Sky & Telescope magazine.  See the README.1ST file for information on how to order back issues.


 FILE NAME    ISSUE                     BRIEF DESCRIPTION                  
 MOONUP.BAS   Jul 89 p78    Compute moonrise-moonset times for any place   
 OBSCUR.BAS   Nov 86 p515   Obscuration at a solar eclipse                 
 OCCVIS.BAS   Jan 93 p89    Compute the visibility of a star near the Moon 
 ORBITS.BAS   May 87 p535   Positions in near-parabolic orbits             
 ORIGAM.BAS   Apr 90 p424   Make a paper model of a comet orbit            
 PATH.BAS     Feb 87 p196   Interpolate comet positions                    
 PERIAP.BAS   Nov 87 p527   Compute lunar apogee and perigee               
 PERIOD.BAS   Sep 88 p288   Period search by Fourier transform             
 PHOTOM.BAS   Feb 85 p158   Reducing photometric observations              
 PRECESS.BAS  Oct 91 p408   Rigorous precession of a star's coordinates    
 RAINBOW.BAS  Feb 91 p199   Graphic simulation of a rainbow                
 REACT.BAS    Aug 86 p174   Test your personal reaction time               
 REFR1.BAS    Mar 89 p311   Compute atmospheric refraction                 
 RONCHI.BAS   Apr 91 p416   Ronchi test simulation                         
 ROTATE.BAS   Sep 92 p318   Field rotation in a misaligned telescope       
 SAROS.BAS    Oct 85 p366   Saros numbers for solar eclipses               
 SHADOW.BAS   Apr 88 p417   Modeling mountain shadows                      
 SHOWER.BAS   Aug 89 p195   Dates of meteor showers                        
 SHUTTR.BAS   Jun 85 p158   Shutter speeds for astrophotography            
 SINE.BAS     Aug 89 p139   Demonstration of chaotic behavior              
 SOLARECL.BAS Jul 91 p71    Local predictions of 1991 July 11 solar eclipse
 SPACE.BAS    May 89 p531   Space motion of a star                         
 SPHE.BAS     Sep 86 p278   Measure radius of curvature with a spherometer 
 SPIRAL.BAS   Dec 90 p654   Modeling spiral galaxies                       
 STAY.BAS     Jul 84 p62    Comet's time spent inside Earth's orbit        
 STEPPR.BAS   Apr 85 p350   Controlling a stepper motor                    
 STEREO.BAS   Oct 87 p407   Plot stars using the sterographic projection   
 SUNSHINE.BAS Sep 84 p254   Hours of sunshine for a specific latitude      
 SUNTAN.BAS   Jul 93 p83    Effects of ozone, haze, on suntanning time     
 SUNUP.BAS    Aug 94 p84    Times of sunrise/set at any place on Earth     
 SURF.BAS     Oct 86 p392   Surface brightness of an extended object       
 TAKI.BAS     Feb 89 p194   How to aim an altazimuth (Dobsonian) telescope 
 TRACK.BAS    Feb 86 p190   Astrophoto tracking tolerances                 
 WAVEL.BAS    Jun 85 p544   Positions of absorption lines in a spectrogram 
 XYZ.BAS      Nov 85 p470   X,Y,Z coordinates of the Sun                   

